"Abandoned Orders", "Abandoned Orders"
"Advanced Settings", "Advanced Settings"
"Basic Settings", "Basic Settings"
"Cancel status", "Cancel status"
"Custom settings by payment methods", "Custom settings by payment methods"
"Custom minutes with this payment method", "Custom minutes with this payment method"
"Cancel after", "Cancel after"
"Enabled", "Enabled"
"Enable Abandoned Orders module", "Enable Abandoned Orders module"
"Enable Abandonedorder system of payment method", "Enable Abandonedorder system of payment method"
"Minutes after an order is considered abandoned and canceled", "Minutes after an order is considered abandoned and canceled"
"No cancel order with this payment method", "No cancel order with this payment method"
"No process", "No process"
"Order auto canceled", "Order auto canceled"
"Order States to be cancel", "Order States to be cancel"
"Please select", "Please select"
"Process new payment", "Process new payment"
"Status Settings", "Status Settings"
"Use default configuration", "Use default configuration"
"Use default minutes", "Use default minutes"
"Show/Hide inactive payment methods", "Show/Hide inactive payment methods"
"Show inactive payment methods", "Show inactive payment methods"
"Hide inactive payment methods", "Hide inactive payment methods"
