"Yes","Si"
"No","No"
"Abandoned Orders", "Pedidos abandonados"
"Basic Settings", "Configuración básica"
"Cancel status", "Estado para cancelar"
"Cancel after", "Cancelar después de"
"Enabled", "Activo"
"Enable automatic cancellation of abandoned orders", "Activa el sistema de cancelado automático de pedidos abandonados"
"Minutes after an order is considered abandoned and canceled", "Minutos tras los que el pedido con esta forma de pago se considera abandonado y se cancela"
"Ignore", "Ignorar"
"Order auto canceled", "Pedido auto cancelado"
"Order states to be canceled", "Estados para ser cancelados"
"Please select", "Selecciona una opción"
"Status Settings", "Configuración de estados"
"Payment method's custom settings","Configuración personalizada por forma de pago"
"Which states can be auto canceled?","¿Que estados pueden ser cancelados por abandono?"
"Which status should be assigned to auto canceled orders?","¿Que status debe ser asignado a los pedidos al cancelarlos por abandono?"
"New","Nuevo"
"Pending Payment","Pendiente de pago"
"Processing","Procesándose"
"Complete","Completo"
"Closed","Cerrado"
"Canceled","Cancelado"
"On Hold","En espera"
"Payment Review","Revisión del pago"
"Default action","Acción por defecto"
"Auto cancel orders","Cancelar automáticamente"
"Ignore until I configure it","Ignorar hasta que la configure"
"What should be done with not configured payments methods?","¿Que se debe hacer con las formas de pago no configuradas?"
"Per payment method configuration","Configuración por forma de pago"
"Show all methods","Mostrar todos las formas de pago"
"Hide disabled methods","Ocultar formas de pago deshabilitadas"
"Auto cancel","Cancelar automáticamente"
"Auto cancel after custom minutes","Cancelar automáticamente tras los siguientes minutos"


